Trial,totalTime_evac_old,totalTime_new,totalTime_old,totalTime_resp_old
0,17,24,33,16
1,16,23,32,16
2,19,29,37,18
3,19,23,33,14
4,13,22,32,19
5,15,21,29,14
6,18,24,33,15
7,12,19,28,16
8,15,23,33,18
9,14,23,33,19
10,16,23,33,17
11,20,29,40,20
12,22,31,39,17
13,14,23,32,18
14,20,29,38,18
15,14,23,32,18
16,13,20,30,17
17,17,24,33,16
18,26,36,45,19
19,17,22,31,14
20,17,21,30,13
21,19,27,35,16
22,19,28,36,17
23,12,17,27,15
24,21,30,39,18
25,17,30,38,21
26,21,32,42,21
27,21,30,37,16
28,25,34,45,20
29,15,20,30,15
30,17,20,31,14
31,20,27,37,17
32,18,28,38,20
33,25,32,44,19
34,14,22,31,17
35,14,21,30,16
36,16,24,33,17
37,12,19,28,16
38,20,25,33,13
39,15,23,32,17
40,17,25,34,17
41,18,28,37,19
42,16,25,35,19
43,19,27,36,17
44,20,28,37,17
45,19,27,36,17
46,12,21,30,18
47,17,23,32,15
48,17,29,36,19
49,17,23,33,16
50,21,27,38,17
51,22,28,38,16
52,23,33,43,20
53,17,27,36,19
54,23,31,39,16
55,17,27,36,19
56,18,27,37,19
57,19,27,38,19
58,22,32,43,21
59,18,26,35,17
60,24,30,39,15
61,15,27,37,22
62,23,30,40,17
63,10,16,24,14
64,19,28,36,17
65,16,24,33,17
66,14,21,29,15
67,18,29,38,20
68,21,29,40,19
69,26,34,43,17
70,13,21,30,17
71,19,27,36,17
72,19,26,35,16
73,17,23,31,14
74,26,35,46,20
75,19,28,37,18
76,14,21,32,18
77,24,33,44,20
78,17,26,36,19
79,16,23,31,15
80,15,22,30,15
81,22,27,37,15
82,23,29,39,16
83,16,26,35,19
84,15,24,34,19
85,22,31,41,19
86,11,16,26,15
87,13,20,28,15
88,24,33,43,19
89,27,35,45,18
90,20,26,36,16
91,14,19,29,15
92,26,33,45,19
93,16,25,36,20
94,19,25,34,15
95,16,21,31,15
96,18,29,38,20
97,14,23,32,18
98,17,24,33,16
99,20,26,37,17
100,15,21,29,14
101,18,26,35,17
102,15,21,30,15
103,17,29,37,20
104,16,24,32,16
105,15,21,30,15
106,18,26,35,17
107,18,25,35,17
108,17,24,32,15
109,22,29,38,16
110,18,24,34,16
111,22,27,37,15
112,14,19,29,15
113,25,31,40,15
114,17,24,33,16
115,14,20,30,16
116,23,31,42,19
117,24,32,42,18
118,24,30,39,15
119,31,36,48,17
120,21,31,40,19
121,26,35,46,20
122,17,29,38,21
123,19,24,33,14
124,16,23,33,17
125,18,26,35,17
126,18,26,35,17
127,19,27,37,18
128,20,28,38,18
129,22,32,40,18
130,18,27,36,18
131,19,28,36,17
132,17,27,37,20
133,22,31,41,19
134,14,23,32,18
135,15,23,31,16
136,15,20,28,13
137,22,29,39,17
138,16,26,35,19
139,16,28,37,21
140,21,27,36,15
141,18,25,35,17
142,14,22,31,17
143,11,16,25,14
144,17,25,34,17
145,22,28,36,14
146,22,29,39,17
147,23,29,38,15
148,31,39,50,19
149,25,33,44,19
150,15,20,29,14
151,13,20,29,16
152,15,22,31,16
153,17,26,35,18
154,18,27,36,18
155,22,30,39,17
156,13,23,33,20
157,25,30,40,15
158,14,20,29,15
159,16,23,34,18
160,21,27,35,14
161,28,39,47,19
162,23,37,46,23
163,17,24,34,17
164,19,27,36,17
165,15,23,32,17
166,13,22,32,19
167,22,33,43,21
168,17,20,30,13
169,19,27,37,18
170,25,34,44,19
171,15,21,31,16
172,23,34,44,21
173,16,24,33,17
174,16,25,33,17
175,20,28,39,19
176,14,20,29,15
177,20,27,37,17
178,15,26,35,20
179,14,24,33,19
180,15,23,31,16
181,21,34,45,24
182,23,35,45,22
183,19,32,42,23
184,17,22,31,14
185,19,27,36,17
186,14,20,28,14
187,19,24,33,14
188,16,26,33,17
189,21,30,38,17
190,18,26,35,17
191,16,24,33,17
192,19,28,38,19
193,23,30,40,17
194,18,27,38,20
195,21,33,43,22
196,21,27,37,16
197,15,22,32,17
198,25,31,42,17
199,17,25,34,17
200,21,27,37,16
201,17,25,34,17
202,11,20,28,17
203,18,25,34,16
204,13,21,31,18
205,17,21,30,13
206,23,31,41,18
207,21,25,34,13
208,21,28,36,15
209,10,22,30,20
210,15,24,33,18
211,14,23,33,19
212,15,24,34,19
213,20,28,37,17
214,17,27,37,20
215,15,26,35,20
216,16,26,34,18
217,25,34,44,19
218,17,26,36,19
219,22,29,39,17
220,14,24,33,19
221,17,26,34,17
222,18,25,34,16
223,17,26,35,18
224,19,34,45,26
225,23,29,37,14
226,16,24,36,20
227,20,27,37,17
228,14,21,32,18
229,21,29,38,17
230,23,30,40,17
231,16,25,33,17
232,16,27,35,19
233,16,26,33,17
234,15,21,29,14
235,17,21,31,14
236,23,37,46,23
237,22,27,38,16
238,20,32,41,21
239,20,33,42,22
240,20,32,43,23
241,26,36,45,19
242,18,27,36,18
243,19,30,39,20
244,14,20,31,17
245,19,23,34,15
246,13,24,32,19
247,22,33,40,18
248,15,21,30,15
249,18,24,33,15
250,19,25,35,16
251,17,22,33,16
252,19,29,41,22
253,15,22,32,17
254,20,29,37,17
255,20,30,39,19
256,14,22,33,19
257,32,44,56,24
258,22,33,42,20
259,15,24,32,17
260,20,25,35,15
261,17,27,35,18
262,15,20,28,13
263,22,30,42,20
264,12,20,29,17
265,18,25,34,16
266,14,22,31,17
267,20,26,35,15
268,20,29,39,19
269,17,25,32,15
270,23,33,42,19
271,17,24,35,18
272,27,37,46,19
273,18,25,35,17
274,28,36,47,19
275,17,26,34,17
276,24,31,40,16
277,21,30,39,18
278,22,28,39,17
279,22,27,37,15
280,18,25,35,17
281,13,19,26,13
282,20,28,37,17
283,13,22,30,17
284,12,19,28,16
285,18,28,36,18
286,22,33,44,22
287,20,22,32,12
288,21,30,39,18
289,25,35,43,18
290,14,23,31,17
291,17,25,33,16
292,17,23,33,16
293,26,31,41,15
294,20,29,39,19
295,16,24,34,18
296,18,25,35,17
297,13,23,30,17
298,17,29,38,21
299,15,23,31,16
300,16,21,29,13
301,20,26,35,15
302,16,26,36,20
303,14,22,31,17
304,16,20,30,14
305,20,27,37,17
306,16,23,33,17
307,19,25,36,17
308,17,25,35,18
309,17,21,31,14
310,23,28,36,13
311,20,29,38,18
312,21,34,44,23
313,19,24,33,14
314,12,20,28,16
315,21,28,40,19
316,21,32,41,20
317,15,26,34,19
318,22,25,36,14
319,19,25,36,17
320,23,30,40,17
321,17,22,32,15
322,17,23,33,16
323,26,33,44,18
324,18,25,34,16
325,18,26,36,18
326,23,31,38,15
327,17,24,34,17
328,13,25,33,20
329,19,27,36,17
330,24,30,40,16
331,15,18,28,13
332,16,28,37,21
333,17,25,34,17
334,14,21,29,15
335,16,21,30,14
336,22,32,43,21
337,17,28,36,19
338,23,33,42,19
339,16,28,38,22
340,16,24,33,17
341,24,27,38,14
342,23,29,39,16
343,18,28,38,20
344,20,25,35,15
345,18,27,37,19
346,16,22,31,15
347,18,25,35,17
348,27,34,43,16
349,16,24,32,16
350,16,28,37,21
351,23,28,37,14
352,15,21,29,14
353,17,26,35,18
354,21,27,36,15
355,18,25,33,15
356,21,30,42,21
357,16,23,33,17
358,13,19,28,15
359,20,32,40,20
360,19,29,39,20
361,20,31,41,21
362,25,33,44,19
363,22,29,40,18
364,17,22,30,13
365,14,18,29,15
366,12,19,28,16
367,22,29,37,15
368,15,25,35,20
369,10,16,25,15
370,18,25,36,18
371,16,30,39,23
372,12,20,28,16
373,24,33,41,17
374,17,23,33,16
375,18,24,33,15
376,18,22,32,14
377,18,29,39,21
378,19,28,37,18
379,14,23,31,17
380,17,22,32,15
381,27,36,48,21
382,15,23,32,17
383,15,26,35,20
384,20,26,34,14
385,16,27,36,20
386,22,31,40,18
387,19,30,42,23
388,22,33,44,22
389,15,30,39,24
390,25,34,45,20
391,15,22,33,18
392,20,28,36,16
393,18,27,37,19
394,14,21,29,15
395,19,27,37,18
396,18,25,35,17
397,22,27,37,15
398,19,26,35,16
399,24,34,43,19
400,15,24,33,18
401,21,27,39,18
402,13,21,28,15
403,16,27,34,18
404,21,31,40,19
405,16,23,33,17
406,23,36,43,20
407,15,21,30,15
408,17,24,33,16
409,20,27,35,15
410,16,21,32,16
411,22,33,42,20
412,17,28,38,21
413,17,26,34,17
414,12,23,32,20
415,20,25,34,14
416,26,33,42,16
417,16,22,32,16
418,22,29,39,17
419,19,25,35,16
420,16,25,35,19
421,17,23,33,16
422,25,33,43,18
423,22,31,40,18
424,23,27,38,15
425,20,27,37,17
426,18,26,34,16
427,16,22,31,15
428,28,37,47,19
429,18,27,40,22
430,12,22,30,18
431,19,26,34,15
432,13,20,29,16
433,24,32,43,19
434,16,25,35,19
435,27,34,43,16
436,16,22,32,16
437,13,19,26,13
438,15,22,32,17
439,22,31,40,18
440,20,26,36,16
441,12,15,25,13
442,19,26,34,15
443,27,33,43,16
444,21,30,40,19
445,22,28,38,16
446,13,22,29,16
447,17,25,34,17
448,21,26,38,17
449,22,28,37,15
450,25,33,41,16
451,26,33,43,17
